COR_SC 1131,COR_SC 1132,COR_CMT,COR_EDR,COR_EDR (LP),COR_ZP,DC Power Limit,COR_CHT,COR_LP,COR_SC 1141,SRV LAMDA,H2,Temp,Press
2342.717254,2475.976567,0.385137166,0.012085271,0.006581947,0.200714512,4.934919983,11623.57458,3333.796062,0.217113928,0.100345504,33.30770115,676,7370000
2276.44212,2470.45413,0.20745418,0.007442643,0.004897358,0.256112741,4.666025206,8691.570467,2723.775408,0.501731886,0.128373431,34.54666667,648,7380000
2305.934385,2671.619058,0.18495986,0.003883631,0.001317476,0.323854179,2.588127836,5320.581459,1888.046794,0.372732737,0.107362773,29.65436782,625,7380000
2182.585663,2730.854247,0.131691085,0.037999213,0.00294642,0.203937306,4.964585577,5873.766785,1933.648653,0.397838476,0.100823051,35.80413793,653,7380000
2465.139762,2500.160398,0.187832563,0.009329605,0.001248772,0.258978623,5.688155755,8186.685246,1753.620142,0.481180647,0.103722918,33.34103448,663,7370000
2525.920141,2682.599132,0.100440767,0.007703982,0.031728165,0.10980733,3.470158855,8424.492826,2420.164964,0.165742292,0.100664735,32.18183908,634,7370000
2547.311006,2620.520148,0.410098435,0.010589395,0.013890325,0.173877117,7.297288096,6070.682144,3203.967878,0.445755183,0.10038405,31.65505747,655,7380000
2242.05748,2713.430885,0.493275246,0.018639769,0.027686961,0.389177737,4.590927872,11858.86598,2253.426164,0.241318968,0.100071663,33.04264368,682,7400000
2378.984823,2542.424996,0.195804328,0.003602129,0.010338596,0.165220139,3.630749126,6545.097569,2743.306961,0.361114072,0.102612645,2.194078947,562,7370000
2369.324125,2646.52087,0.220893859,0.008936805,0.001223883,0.31259843,3.444987637,20632.02845,2405.291711,0.207312373,0.102977132,31.19310345,672,7380000
2227.427837,2429.481867,0.275213971,0.033945087,0.014968812,0.154077529,2.839062226,12772.72831,2080.835743,0.721522237,0.101119023,36.02344828,694,7370000
2421.581746,2742.385476,0.402281059,0.0495442,0.00133771,0.340328758,5.107495745,15955.18593,2120.074312,0.184544575,0.108154495,33.90770115,668,7380000
2103.224488,2690.140219,0.106558526,0.012826774,0.015422366,0.131829907,5.095494133,14509.27269,1825.752974,0.547418506,0.100036336,35.59206897,653,7380000
2366.355701,2793.153732,0.183327471,0.005878656,0.01214023,0.156484331,2.544635037,8531.205963,2318.661835,0.201155674,0.10004631,31.86471264,649,7370000
